=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-4-12_11-47-7
====================================================================================
11:47:7 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
11:47:7 | [PermissionManager] Perm (FreeCamera) has been registered!
11:47:7 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
11:47:7 | [PermissionManager] Perm (MenuItemManager) has been registered!
11:47:7 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
11:47:7 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
11:47:7 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
11:47:7 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
11:47:7 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
11:47:7 | [PermissionManager] Perm (MenuServerManager) has been registered!
11:47:7 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
11:47:7 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
11:47:7 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
11:47:7 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
11:47:7 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
11:47:7 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
11:47:7 | [PermissionManager] Perm (MenuObjectManager) has been registered!
11:47:7 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
11:47:7 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
11:47:7 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
11:47:7 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
11:47:7 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
11:47:7 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
11:47:7 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
11:47:7 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
11:47:7 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
11:47:7 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
11:47:7 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
11:47:7 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
11:47:7 | [PermissionManager] Perm (MenuBansManager) has been registered!
11:47:7 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
11:47:7 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
11:47:7 | [PermissionManager] Perm (MenuWebHooks) has been registered!
11:47:7 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
11:47:7 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
11:47:7 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
11:47:7 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
11:47:7 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
11:47:7 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
11:47:7 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
11:47:7 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
11:47:7 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
11:47:7 | [PermissionManager] Adding Super Admin (76561198118650977)
11:47:7 | [PermissionManager] Loaded UserGroups.json
11:47:7 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
11:47:7 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
11:47:7 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
11:47:7 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
11:47:7 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
11:47:7 | Building Sets Loaded: 0
11:47:7 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
11:47:7 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
12:10:42 | Player "Zackstabz" (steamId=76561198118650977) connected to server!
12:11:11 | "Zackstabz" (steamid=76561198118650977) toggled freecam
12:12:32 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5609.497070, 74.000008, 3195.411865>)
12:12:34 | "Zackstabz" (steamid=76561198118650977) toggled freecam
12:13:1 | "Zackstabz" (steamid=76561198118650977) Spawned Item: (Ammo_762x54)
12:16:2 | "76561198118650977" (steamid=76561198118650977) teleported to (pos=<4956.029785, 73.624718, 3172.149902>)
12:16:2 | "Zackstabz": (steamid=76561198118650977) teleported to (pos=4956.03,0,3172.15)
12:16:10 | "76561198118650977" (steamid=76561198118650977) teleported to (pos=<5892.149902, 73.713448, 3750.580078>)
12:16:10 | "Zackstabz": (steamid=76561198118650977) teleported to (pos=5892.15,0,3750.58)
12:16:23 | "76561198118650977" (steamid=76561198118650977) teleported to (pos=<4877.939941, 83.842735, 3314.780029>)
12:16:23 | "Zackstabz": (steamid=76561198118650977) teleported to (pos=4877.94,0,3314.78)
12:16:53 | "76561198118650977" (steamid=76561198118650977) teleported to (pos=<5563.890137, 79.754974, 3052.030029>)
12:16:53 | "Zackstabz": (steamid=76561198118650977) teleported to (pos=5563.89,0,3052.03)
12:16:58 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5579.562500, 74.739037, 3091.175293>)
12:16:59 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5583.900879, 74.021423, 3106.928223>)
12:17:0 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5593.284668, 74.320023, 3129.566406>)
12:17:0 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5602.953613, 73.999985, 3154.852051>)
12:17:0 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5609.072754, 74.000000, 3174.033447>)
12:17:1 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5613.899902, 74.000000, 3193.468506>)
12:17:1 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5618.609863, 73.999992, 3212.615234>)
12:17:2 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5622.739258, 74.000008, 3230.968750>)
12:17:2 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5625.019531, 74.071396, 3246.847656>)
12:17:2 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5626.399902, 74.365929, 3260.159912>)
12:17:3 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5627.795898, 74.899445, 3271.364014>)
12:17:3 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5628.962891, 75.732529, 3277.893311>)
12:17:4 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5630.695801, 75.724800, 3287.318604>)
12:17:58 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5603.613281, 74.142624, 3323.115234>)
12:17:59 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5598.133789, 74.573364, 3321.791504>)
12:17:59 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5594.056152, 75.299637, 3317.593994>)
12:18:0 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5592.693848, 76.759850, 3315.561279>)
12:18:0 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5592.364746, 78.578209, 3315.522705>)
12:18:1 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5591.750977, 77.779518, 3314.699951>)
12:18:4 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5583.710938, 74.000000, 3301.126709>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.386230, 74.000023, 3296.127197>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.358398, 73.999992, 3296.080811>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.332031, 74.000023, 3296.036865>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.306641, 74.000008, 3295.994141>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.280762, 73.999992, 3295.950439>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.256836, 73.999992, 3295.910400>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.232422, 74.000000, 3295.870117>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.206055, 73.999992, 3295.825195>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5580.181152, 74.000000, 3295.782959>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5578.333008, 73.999977, 3293.084717>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.719727, 73.999985, 3292.191162>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.527832, 74.000000, 3291.911377>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.412598, 74.000000, 3291.730957>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.381836, 73.999992, 3291.683594>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.316895, 73.999992, 3291.574951>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.298340, 74.000000, 3291.544922>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5577.298340, 74.000000, 3291.544922>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5576.958008, 74.000008, 3291.033691>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5576.667969, 74.000008, 3290.611084>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5576.360840, 74.000008, 3290.163574>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5576.059570, 74.000008, 3289.725342>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5575.775879, 74.000008, 3289.309570>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5575.508789, 74.000000, 3288.917969>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5575.246582, 73.999992, 3288.528564>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5575.027832, 73.999969, 3288.203613>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5574.851074, 74.000000, 3287.942139>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5574.530762, 74.000008, 3287.466064>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5574.284180, 74.000000, 3287.101563>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5573.808594, 73.999992, 3286.402832>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5573.471191, 74.000008, 3285.908447>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5573.240234, 73.999985, 3285.569092>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5572.535156, 74.000031, 3284.532471>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5572.082031, 73.999992, 3283.866455>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5571.800781, 74.000000, 3283.452881>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5571.162109, 73.999992, 3282.514893>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5570.789551, 73.999992, 3281.968750>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5569.863281, 73.999985, 3280.606445>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5569.375488, 74.000000, 3279.890869>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5569.136230, 73.999985, 3279.538574>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5569.008789, 74.000000, 3279.348145>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5568.936035, 73.999992, 3279.236816>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5568.891113, 73.999992, 3279.166016>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5568.855957, 73.999992, 3279.108643>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5568.826172, 74.000000, 3279.059570>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5567.017578, 74.000008, 3276.432861>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5566.388672, 74.000008, 3275.566162>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5566.177734, 73.999985, 3275.306396>)
12:18:5 | "Zackstabz" (steamid=76561198118650977) teleported to crosshair (pos=<5565.990723, 74.000008, 3275.079834>)
